TRACE BEGIN axis=1 rows=1000 kp=0.00025 ki=8e-07 kv=1e-06 kd=0 kff=0 ff=1 pwm=25000 target=-720 duration=5 vmax=1100 accel=2200 vscale=1 ascale=0.35 vsrc=1 vwin=40 valpha=0.05
t_ms,ref_mdeg,enc_mdeg,hat_mdeg,vref_mdegs,what_mdegs,duty_milli,cur_01ma
0,0,0,0,0,0,-19,0
5,-10,-43,-13,-3850,-1103,-22,-273
10,-129,-129,-87,-14095,-3308,-38,-242
15,-267,-267,-217,-20278,-6846,-42,-469
20,-477,-477,-435,-27103,-12231,-47,-492
25,-743,-743,-740,-33826,-19051,-51,-512
30,-1058,-1058,-1136,-40365,-27128,-56,-536
35,-1418,-1418,-1628,-46730,-36359,-60,-557
40,-1819,-1819,-2220,-52927,-46615,-65,-580
45,-2259,-2259,-2917,-58982,-56385,-69,-601
50,-2738,-2738,-3723,-64935,-66359,-73,-627
55,-3254,-3254,-4643,-70790,-75641,-77,-656
60,-3806,-3806,-5683,-76559,-84103,-81,-687
65,-4394,-4394,-6851,-82260,-92103,-85,-722
70,-4976,-5016,-8154,-87540,-99718,-78,-761
75,-5423,-5629,-9588,-91390,-106000,-40,-537
80,-5890,-6101,-11091,-95240,-107615,-41,-153
85,-6376,-6481,-12594,-99090,-105872,-70,-345
90,-6881,-6917,-14163,-102940,-104590,-90,-1015
95,-7405,-7472,-15952,-106790,-105410,-85,-1518
100,-7949,-8083,-18072,-110640,-106718,-71,-1713
105,-8512,-8670,-20570,-114490,-106538,-67,-1938
110,-9094,-9223,-23510,-118340,-104564,-77,-2451
115,-9695,-9792,-27025,-122190,-104000,-88,-3221
120,-10316,-10414,-31303,-126040,-108564,-90,-4091
125,-10955,-11078,-36553,-129890,-115872,-87,-5017
130,-11615,-11754,-43002,-133740,-121385,-85,-6134
135,-12293,-12427,-50931,-137590,-123949,-89,-7610
140,-12990,-13113,-60709,-141440,-125872,-95,-9538
145,-13707,-13828,-72812,-145290,-129385,-98,-11939
150,-14443,-14572,-87833,-149140,-134308,-99,-14896
155,-15199,-15336,-106304,-152990,-139077,-99,-14125
160,-15973,-16112,-127991,-156840,-142769,-101,-12637
165,-16767,-16903,-152506,-160690,-145897,-105,-11299
170,-17580,-17716,-177950,-164540,-149410,-107,-10826
175,-18412,-18551,-203373,-168390,-153538,-109,-10817
180,-19264,-19407,-228795,-172240,-157769,-111,-10817
185,-20135,-20280,-254217,-176090,-161692,-113,-10817
190,-21025,-21171,-279639,-179940,-165333,-115,-10817
195,-21934,-22081,-305061,-183790,-169000,-118,-10817
200,-22863,-23011,-330483,-187640,-172872,-120,-10817
205,-23811,-23962,-355905,-191490,-176872,-122,-10817
210,-24778,-24931,-381327,-195340,-180769,-124,-10817
215,-25764,-25919,-406749,-199190,-184564,-126,-10817
220,-26770,-26926,-432171,-203040,-188359,-129,-10817
225,-27795,-27953,-457593,-206890,-192205,-131,-10817
230,-28839,-28998,-483015,-210740,-196051,-133,-10817
235,-29902,-30064,-508437,-214590,-199974,-135,-10817
240,-30984,-31148,-533859,-218440,-203795,-137,-10817
245,-32086,-32252,-559281,-222290,-207641,-139,-10817
250,-33207,-33375,-584703,-226140,-211487,-142,-10817
255,-34348,-34517,-610125,-229990,-215333,-144,-10817
260,-35507,-35678,-635547,-233840,-219179,-146,-10817
265,-36686,-36859,-660969,-237690,-223051,-148,-10817
270,-37884,-38059,-686391,-241540,-226897,-150,-10817
275,-39102,-39278,-711813,-245390,-230744,-153,-10817
280,-40338,-40516,-737235,-249240,-234590,-155,-10817
285,-41594,-41774,-762657,-253090,-238436,-157,-10817
290,-42869,-43051,-788079,-256940,-242282,-159,-10817
295,-44163,-44347,-813501,-260790,-246128,-161,-10817
300,-45477,-45662,-838923,-264640,-249974,-164,-10817
305,-46810,-46997,-864345,-268490,-253846,-166,-10817
310,-48162,-48351,-889767,-272340,-257692,-168,-10817
315,-49533,-49724,-915189,-276190,-261538,-170,-10817
320,-50924,-51116,-940611,-280040,-265385,-172,-10817
325,-52334,-52528,-966033,-283890,-269231,-174,-10817
330,-53763,-53959,-991455,-287740,-273077,-177,-10817
335,-55211,-55409,-1016877,-291590,-276923,-179,-10817
340,-56678,-56878,-1042299,-295440,-280769,-181,-10817
345,-58165,-58367,-1067721,-299290,-284641,-183,-10817
350,-59671,-59875,-1093143,-303140,-288487,-185,-10817
355,-61197,-61402,-1118565,-306990,-292333,-188,-10817
360,-62741,-62949,-1143987,-310840,-296205,-190,-10817
365,-64305,-64514,-1169409,-314690,-300026,-192,-10817
370,-65888,-66099,-1194831,-318540,-303872,-194,-10817
375,-67491,-67703,-1220253,-322390,-307718,-196,-10817
380,-69112,-69327,-1245675,-326240,-311590,-199,-10817
