TRACE BEGIN axis=1 rows=1000 kp=0.00025 ki=8e-07 kv=1e-06 kd=1e-06 kff=0 ff=1 pwm=25000 target=-720 duration=5 vmax=1100 accel=2200 vscale=1 ascale=0.35 vsrc=1 vwin=40 valpha=0.05
t_ms,ref_mdeg,enc_mdeg,hat_mdeg,vref_mdegs,what_mdegs,duty_milli,cur_01ma
0,0,0,0,0,0,-19,0
5,-10,-3,2,-3850,-77,147,59
10,-39,-24,-75,-7700,-615,1000,-1969
15,-303,-209,-539,-21612,-5359,1000,-445
20,-421,-144,-1037,-25462,-3692,1000,588
25,-558,-218,-1340,-29312,-5590,1000,994
30,-714,-106,-1342,-33162,-2718,23,1578
35,-890,-121,-1050,-37012,-3103,-203,93
40,-1084,-273,-799,-40862,-6974,451,-723
45,-1298,-44,-664,-44712,51,-1000,1187
50,-1531,-134,-214,-48562,2282,-1000,2567
55,-1784,-514,577,-52412,-5051,-1000,-2930
60,-2055,-508,801,-56262,-3615,-1000,713
65,-2346,-359,1155,-60112,2795,-1000,998
70,-2657,-688,1552,-63962,-10154,-1000,-2681
75,-2986,-246,1529,-67812,1641,-1000,1957
80,-3335,-789,1741,-71662,-8410,-1000,-2520
85,-3703,-317,1607,-75512,-2513,-1000,2474
90,-4090,-842,1805,-79362,-19513,-1000,-2483
95,-4496,-1130,1450,-83212,-12872,-1000,-2409
100,-4922,-1261,760,-87062,-18462,-1000,2677
105,-5367,-1330,515,-90912,-26128,1000,-2327
110,-5831,-1224,-239,-94762,-20128,1000,-2339
115,-6314,-1124,-1346,-98612,-22308,1000,1740
120,-6817,-1533,-2185,-102462,-25590,1000,-2275
125,-7339,-1410,-3273,-106312,-27923,1000,3175
130,-7880,-1690,-3823,-110162,-28308,1000,-2496
135,-8441,-1577,-4657,-114012,-13359,1000,3177
140,-9020,-2269,-4963,-117862,-33846,1000,-2664
145,-9619,-1984,-5618,-121712,-21359,1000,2580
150,-10237,-1874,-5606,-125562,-15359,-1000,3093
155,-10875,-2436,-5140,-129412,-34897,1000,-3062
160,-11532,-2939,-5406,-133262,-33000,1000,-2907
165,-12208,-3185,-6102,-137112,-47590,-288,3081
170,-12903,-3404,-6211,-140962,-41333,-1000,-843
175,-13617,-3804,-6300,-144812,-49154,-1000,2881
180,-14351,-4344,-5991,-148662,-52538,-1000,-2886
185,-15104,-4729,-6324,-152512,-62641,-1000,-2562
190,-15876,-5239,-7014,-156362,-81795,-1000,2980
195,-16667,-5834,-7213,-160212,-80949,-1000,-2596
200,-17478,-6524,-7984,-164062,-81821,-1000,-2631
205,-18308,-7451,-9199,-167912,-104410,-1000,1074
210,-19157,-8389,-10275,-171762,-121282,-1000,-2242
215,-20026,-9449,-11924,-175612,-145051,1000,-4085
220,-20913,-9839,-14425,-179462,-137436,1000,-1933
225,-21820,-10397,-17084,-183312,-138077,-1000,4161
230,-22746,-11288,-18991,-187162,-155026,1000,-2446
235,-23692,-11584,-21437,-191012,-143795,1000,-3108
240,-24657,-12231,-24256,-194862,-139308,-1000,4318
245,-25640,-13507,-26375,-198712,-152615,-168,-4173
250,-26644,-14784,-29542,-202562,-165590,1000,-6939
255,-27666,-16244,-34232,-206412,-175564,1000,-4481
260,-28708,-16714,-39319,-210262,-173308,997,9911
265,-29769,-17740,-42740,-214112,-190795,1000,-7373
270,-30849,-18589,-47791,-217962,-189154,1000,-7021
275,-31948,-19165,-53546,-221812,-191718,-1000,14090
280,-33067,-20073,-57011,-225662,-201077,851,-11466
285,-34205,-21860,-63340,-229512,-213692,1000,-17243
290,-35362,-22479,-72142,-233362,-191462,-1000,19636
295,-36539,-24226,-77787,-237212,-198128,-1000,-15583
300,-37734,-25464,-85229,-241062,-214462,-1000,23120
305,-38949,-26407,-89003,-244912,-216000,-1000,-19318
310,-40183,-27217,-97196,-248762,-208897,-1000,-18952
315,-41437,-28463,-107940,-252612,-231667,-1000,26043
320,-42709,-29579,-114373,-256462,-236231,-1000,-18000
325,-44001,-32243,-124872,-260312,-258667,1000,-17857
330,-45313,-33030,-137633,-264162,-258231,-1000,26999
335,-46643,-34731,-145831,-268012,-257282,-1000,-17163
340,-47993,-36345,-157874,-271862,-276641,-1000,-17125
345,-49362,-37351,-173920,-275712,-275846,-67,-15310
350,-50750,-38468,-193498,-279562,-278897,-1000,-13639
355,-52157,-39751,-216168,-283412,-285923,-1000,-12174
360,-53584,-41226,-241544,-287262,-293308,-1000,-10891
365,-55030,-43356,-266970,-291112,-270744,1000,-10818
370,-56495,-44671,-290457,-294962,-291154,-1000,30000
375,-57979,-46276,-308121,-298812,-288744,-1000,-12759
380,-59483,-48084,-328477,-302662,-303949,1000,-13189
385,-61006,-48917,-351798,-306512,-293949,1000,-11862
390,-62548,-50633,-377268,-310362,-311872,1000,-10836
395,-64110,-51555,-402691,-314212,-301333,1000,-10817
400,-65690,-52843,-428113,-318062,-295872,1000,-10817
405,-67290,-54321,-453535,-321912,-260769,-1000,-10817
410,-68909,-57154,-478957,-325762,-318872,1000,-10817
415,-70548,-57685,-504379,-329612,-289026,1000,-10817
420,-72206,-59288,-529801,-333462,-286128,1000,-10817
425,-73883,-60087,-553288,-337312,-271923,-1000,30000
430,-75579,-61811,-570952,-341162,-277385,-1000,-12759
435,-77294,-62916,-591308,-345012,-279872,-1000,-13189
440,-79029,-64349,-614629,-348862,-282333,-1000,-11862
445,-80783,-65951,-640099,-352712,-282923,-1000,-10836
450,-82556,-69105,-665522,-356562,-307333,1000,-10817
455,-84348,-69460,-689009,-360412,-288410,-1000,30000
460,-86160,-71320,-706673,-364262,-294744,-1000,-12759
465,-87991,-72722,-725094,-368112,-316487,-1000,29760
470,-89841,-74537,-738217,-371962,-318923,-1000,-14826
475,-91711,-76322,-754568,-375812,-333487,-1000,-15083
480,-93599,-78054,-774384,-379662,-340385,-1000,-13522
485,-95507,-79760,-797261,-383512,-342333,-1000,-12075
490,-97434,-82008,-822741,-387362,-325051,1000,-10840
495,-99381,-83513,-846229,-391212,-348846,-1000,30000
500,-101347,-85473,-863895,-395062,-349718,-1000,-12758
505,-103331,-87313,-884252,-398912,-371205,638,-13188
510,-105336,-88429,-907574,-402762,-352846,1000,-11861
515,-107359,-90370,-933044,-406612,-357179,1000,-10836
520,-109402,-92182,-958467,-410462,-359385,1000,-10817
525,-111464,-93929,-983889,-414312,-360538,1000,-10817
530,-113545,-95643,-1009311,-418162,-328846,-1000,-10817
535,-115645,-98597,-1034733,-422012,-382846,-1000,-10817
540,-117765,-100570,-1060155,-425862,-383385,1000,-10817
545,-119904,-102634,-1085577,-429712,-391256,1000,-10817
550,-122062,-103465,-1109064,-433562,-369795,-1000,30000
555,-124240,-105906,-1126728,-437412,-383462,-1000,-12759
560,-126436,-107921,-1147084,-441262,-389103,-1000,-13189
565,-128652,-109772,-1170405,-445112,-391974,-1000,-11862
570,-130887,-111538,-1195875,-448962,-391487,-1000,-10836
575,-133142,-114522,-1221298,-452812,-406872,1000,-10817
580,-135415,-116005,-1244785,-456662,-385974,-1000,30000
585,-137708,-118189,-1262449,-460512,-389897,-1000,-12759
590,-140021,-119897,-1282805,-464362,-408308,-1000,-13189
595,-142352,-122491,-1306126,-468212,-415821,-1000,-11862
600,-144703,-124866,-1331596,-472062,-426128,-52,-10836
605,-147073,-127218,-1357019,-475912,-439538,1000,-10817
610,-149462,-129364,-1382441,-479762,-449564,1000,-10817
615,-151870,-131358,-1407863,-483612,-418385,-1000,-10817
620,-154298,-133849,-1431350,-487462,-442359,-1000,30000
625,-156745,-136203,-1449014,-491312,-448333,-1000,-12759
630,-159211,-138244,-1469370,-495162,-462359,-1000,-13189
635,-161696,-140622,-1492691,-499012,-459026,1000,-11862
640,-164201,-143069,-1518161,-502862,-459128,1000,-10836
645,-166725,-145376,-1543584,-506712,-455231,-1000,-10817
650,-169268,-148000,-1569006,-510562,-469000,-1000,-10817
655,-171831,-150163,-1594428,-514412,-461821,-1000,-10817
660,-174412,-153582,-1619850,-518262,-499462,1000,-10817
665,-177013,-155245,-1645272,-522112,-483205,1000,-10817
670,-179634,-157421,-1670694,-525962,-487821,1000,-10817
675,-182273,-159355,-1696116,-529812,-464590,-1000,-10817
680,-184932,-161787,-1721538,-533662,-461795,-1000,-10817
685,-187610,-164563,-1746960,-537512,-473897,-1000,-10817
690,-190307,-167586,-1772382,-541362,-487154,-1000,-10817
695,-193023,-169971,-1797804,-545212,-494410,-1000,-10817
700,-195759,-172567,-1823226,-549062,-480103,1000,-10817
705,-198514,-174596,-1846713,-552912,-478897,-1000,30000
710,-201288,-176933,-1864377,-556762,-484615,-1000,-12759
715,-204081,-179008,-1884733,-560612,-487103,-1000,-13189
720,-206894,-181818,-1908054,-564462,-499205,-1000,-11862
725,-209726,-184573,-1933524,-568312,-502154,1000,-10836
730,-212577,-187111,-1958947,-572162,-493308,1000,-10817
735,-215448,-189737,-1984369,-576012,-501769,1000,-10817
740,-218337,-191902,-2009791,-579862,-473821,-1000,-10817
745,-221246,-195106,-2035213,-583712,-514359,-1000,-10817
750,-224174,-197588,-2060635,-587562,-520154,1000,-10817
755,-227122,-199913,-2086057,-591412,-526513,-330,-10817
760,-230089,-202952,-2111479,-595262,-535308,1000,-10817
765,-233074,-205489,-2136901,-599112,-523872,-1000,-10817
770,-236080,-208314,-2162323,-602962,-523410,-1000,-10817
775,-239104,-211292,-2187745,-606812,-535487,-1000,-10817
780,-242148,-213746,-2213167,-610662,-542487,-1000,-10817
785,-245211,-217360,-2238589,-614512,-565949,1000,-10817
790,-248293,-220356,-2264011,-618362,-572256,1000,-10817
795,-251394,-223217,-2289433,-622212,-586769,-1000,-10817
800,-254515,-226986,-2314855,-626062,-597692,-1000,-10817
805,-257655,-230594,-2340277,-629912,-624308,-1000,-10817
810,-260814,-233973,-2365699,-633762,-642179,-1000,-10817
815,-263993,-237497,-2391121,-637612,-660308,-763,-10817
820,-267190,-240624,-2416543,-641462,-677538,-1000,-10817
825,-270407,-243994,-2441965,-645312,-667487,1000,-10817
830,-273643,-247279,-2467387,-649162,-668538,-1000,-10817
835,-276899,-250815,-2492809,-653012,-687692,-1000,-10817
840,-280173,-255184,-2518231,-656862,-698462,-1000,-10817
845,-283467,-259826,-2543653,-660712,-731154,-1000,-10817
850,-286781,-263524,-2569075,-664562,-744769,-1000,-10817
855,-290113,-267084,-2594497,-668412,-746590,1000,-10817
860,-293465,-270466,-2619919,-672262,-755051,1000,-10817
865,-296836,-273692,-2645341,-676112,-736897,-1000,-10817
870,-300226,-277407,-2670763,-679962,-751128,-1000,-10817
875,-303635,-281764,-2696185,-683812,-774256,-1000,-10817
880,-307064,-285390,-2721607,-687662,-747718,-1000,-10817
