TRACE BEGIN axis=1 rows=1000 kp=0.00025 ki=8e-07 kv=1e-06 kd=1e-06 kff=0 ff=1 pwm=25000 target=720 duration=5 vmax=1100 accel=2200 vscale=1 ascale=0.35 vsrc=1 vwin=40 valpha=0.05
t_ms,ref_mdeg,enc_mdeg,hat_mdeg,vref_mdegs,what_mdegs,duty_milli,cur_01ma
0,0,0,0,0,0,19,0
5,10,-3,-6,3850,-77,85,-131
10,39,-167,-20,7700,-4282,-1000,367
15,87,-84,65,11550,-2154,-1000,759
20,272,-297,173,20464,-7615,1000,-2380
25,384,-214,-265,24314,-5487,1000,-2595
30,515,86,-1054,28164,2205,1000,2995
35,666,258,-1100,32014,6615,-1000,2934
40,835,204,-465,35864,5205,-1000,2612
45,1024,-82,523,39714,-2949,-1000,-3065
50,1232,-257,753,43564,-7667,1000,-2951
55,1460,-223,299,47414,-10282,1000,-2562
60,1706,51,-505,51264,4487,1000,2957
65,1972,211,-575,55114,12282,-1000,2894
70,2258,150,27,58964,8974,-1000,2577
75,2562,-140,978,62814,-5949,-1000,-3007
80,2886,-309,1188,66664,-14615,1000,-2812
85,3229,-253,743,70514,-11744,1000,-2524
90,3591,33,-45,74364,3308,1000,2911
95,3972,199,-110,78214,12385,-1000,2852
100,4373,140,488,82064,9692,-1000,2541
105,4793,-148,1429,85914,-4897,-1000,-2965
110,5232,-316,1638,89764,-13385,1000,-2775
115,5691,-259,1203,93614,-10385,1000,-2487
120,6168,27,429,97464,4333,1000,2869
125,6665,192,369,101314,12872,-1000,2810
130,7181,134,961,105164,9949,-1000,2502
135,7717,-142,1893,109014,-4462,-1000,-2872
140,8272,-242,2128,112864,-11256,1000,-2387
145,8846,-94,1789,116714,-5974,1000,-2487
150,9439,251,1105,120564,10256,1000,2797
155,10051,679,1151,124414,25538,-1000,3517
160,10683,759,1981,128264,26154,-1000,2407
165,11334,735,3167,132114,18179,-1000,-2145
170,12004,788,3776,135964,15308,1000,-2868
175,12693,1088,3724,139814,24128,1000,-1119
180,13402,1833,3577,143664,48333,1000,2572
185,14130,2234,4010,147514,60846,-322,2491
190,14877,2788,5091,151364,70769,-1000,4008
195,15644,3049,6822,155214,64128,-1000,-2379
200,16429,3246,7931,159064,61846,1000,-2939
205,17234,3974,8494,162914,74231,1000,1999
210,18059,4697,9271,166764,95205,1000,-2681
215,18902,5506,9645,170614,111744,1000,3338
220,19765,6514,10908,174464,125846,-1000,6414
225,20647,6768,13261,178314,119077,-1000,-3162
230,21548,7722,15027,182164,122513,-1000,1044
235,22468,8186,16820,186014,122026,1000,-2378
240,23408,9605,18126,189864,157487,1000,539
245,24367,10315,19504,193714,153872,1000,613
250,25345,11514,20980,197564,174051,-1000,478
255,26343,11968,22508,201414,170103,-1000,22
260,27359,13113,23987,205264,164103,-1000,-175
265,28395,14176,25335,209114,180769,1000,-1108
270,29450,15314,26412,212964,183077,1000,-144
275,30525,16239,27369,216814,200103,1000,-900
280,31619,17816,28351,220664,214308,-1000,5456
285,32731,18510,30340,224514,210615,-1000,-323
290,33864,19566,32128,228364,207359,-1000,-2666
295,35015,20163,33324,232214,206949,1000,-371
300,36186,21081,34345,236064,188744,1000,-890
305,37376,23011,35126,239914,218231,1000,-436
310,38585,23995,35761,243764,212564,1000,-316
315,39813,25316,36290,247614,231333,-647,-32
320,41061,26159,36815,251464,213462,-1000,951
325,42328,27107,37453,255314,211590,1000,-786
330,43614,28186,37923,259164,208564,1000,422
335,44920,29745,38373,263014,238872,1000,-1333
340,46244,31035,38635,266864,245897,1000,2400
345,47588,32736,39649,270714,251256,-1000,7232
350,48951,33555,41938,274564,244795,-1000,-2530
355,50334,34780,43743,278414,242821,-1000,446
360,51736,36224,45586,282264,243282,1000,399
365,53157,37930,47362,286114,269590,1000,-2126
370,54597,39251,48732,289964,273872,1000,1304
375,56056,41666,50569,293814,303231,-1000,6016
380,57535,42749,53541,297664,300744,-1000,-18
385,59033,44199,56449,301514,285051,-1000,-821
390,60550,45416,59077,305364,293103,1000,-1258
395,62086,46843,61279,309214,296846,1000,-2541
