TRACE BEGIN axis=1 rows=1000 kp=0.00025 ki=8e-07 kv=1e-06 kd=0 kff=0 ff=1 pwm=25000 target=720 duration=5 vmax=1100 accel=2200 vscale=1 ascale=0.35 vsrc=1 vwin=40 valpha=0.05
t_ms,ref_mdeg,enc_mdeg,hat_mdeg,vref_mdegs,what_mdegs,duty_milli,cur_01ma
0,0,0,0,0,0,19,0
5,10,42,12,3850,1077,23,273
10,126,126,83,13930,3231,38,256
15,263,263,214,20125,6744,42,479
20,470,470,436,26904,12051,46,514
25,732,732,751,33575,18769,51,538
30,1043,1043,1163,40078,26744,56,556
35,1398,1398,1676,46400,35846,60,564
40,1794,1794,2291,52562,45974,64,567
45,2230,2230,3006,58602,55692,68,567
50,2703,2703,3820,64518,65538,72,555
55,3214,3214,4731,70353,74744,76,541
60,3760,3760,5733,76095,83128,80,523
65,4342,4342,6819,81772,91051,84,502
70,4959,4959,7985,87389,98667,88,476
75,5406,5586,9216,91239,105436,46,292
80,5871,6093,10452,95089,108077,38,-243
85,6356,6482,11584,98939,106667,65,-277
90,6861,6902,12620,102789,105128,88,78
95,7384,7439,13636,106639,105615,88,230
100,7927,8049,14656,110489,107051,73,25
105,8489,8646,15626,114339,107256,67,-291
110,9071,9206,16477,118189,105641,75,-439
115,9671,9771,17181,122039,104359,87,-361
120,10291,10385,17763,125889,107923,91,-200
125,10930,11046,18260,129739,115051,88,-97
130,11588,11724,18698,133589,121128,86,-40
135,12266,12401,19092,137439,124179,89,51
140,12963,13086,19469,141289,126026,94,217
145,13679,13798,19869,145139,129179,98,405
150,14414,14539,20338,148989,133897,99,546
155,15169,15304,20906,152839,138846,99,624
160,15943,16081,21592,156689,142744,101,650
165,16736,16871,22398,160539,145872,104,636
170,17548,17682,23320,164389,149282,107,625
175,18379,18515,24354,168239,153282,110,609
180,19230,19371,25491,172089,157564,111,526
185,20100,20245,26710,175939,161564,113,408
190,20990,21135,27979,179789,165231,115,283
195,21898,22043,29268,183639,168846,118,174
200,22826,22972,30550,187489,172692,120,75
205,23773,23922,31803,191339,176667,122,-8
210,24739,24891,33005,195189,180641,124,-70
215,25725,25879,34144,199039,184462,126,-94
220,26730,26885,35216,202889,188205,129,-87
225,27754,27910,36226,206739,192026,131,-43
230,28797,28955,37185,210589,195897,133,24
235,29860,30020,38111,214439,199821,135,109
240,30942,31104,39023,218289,203667,137,199
245,32043,32207,39948,222139,207487,139,297
250,33163,33329,40907,225989,211333,142,384
255,34303,34470,41921,229839,215154,144,460
260,35461,35631,43007,233689,219051,146,513
265,36640,36811,44178,237539,222897,148,539
270,37837,38010,45436,241389,226744,150,538
275,39053,39228,46781,245239,230590,153,510
280,40289,40466,48205,249089,234436,155,465
285,41544,41723,49693,252939,238282,157,398
290,42819,42998,51230,256789,242128,160,327
295,44112,44294,52795,260639,246000,162,249
300,45425,45609,54371,264489,249846,164,179
305,46757,46943,55941,268339,253692,166,119
310,48108,48296,57490,272189,257538,168,75
315,49479,49669,59008,276039,261410,170,53
320,50869,51060,60491,279889,265231,172,47
325,52278,52471,61939,283739,269103,175,67
330,53706,53901,63357,287589,272949,177,101
335,55154,55350,64755,291439,276769,179,151
340,56621,56819,66145,295289,280641,181,211
345,58107,58307,67543,299139,284487,183,274
350,59612,59814,68965,302989,288333,186,333
355,61137,61341,70424,306839,292205,188,385
360,62680,62886,71932,310689,296026,190,425
365,64243,64451,73498,314539,299872,192,447
370,65826,66035,75126,318389,303718,194,456
375,67427,67639,76817,322239,307615,196,449
380,69048,69261,78568,326089,311436,199,422
385,70688,70903,80372,329939,315282,201,387
390,72348,72564,82219,333789,319128,203,341
395,74026,74244,84097,337639,322974,205,296
400,75724,75944,85995,341489,326846,208,246
405,77441,77663,87900,345339,330692,210,201
410,79177,79402,89803,349189,334564,212,170
415,80933,81159,91694,353039,338385,214,149
420,82708,82935,93570,356889,342231,216,141
425,84502,84731,95430,360739,346103,218,146
430,86315,86547,97274,364589,349974,220,166
435,88148,88381,99109,368439,353795,223,192
440,89999,90234,100942,372289,357615,225,231
445,91871,92107,102783,376139,361462,227,274
450,93761,93999,104642,379989,365333,229,314
455,95670,95911,106529,383839,369205,231,349
460,97599,97841,108451,387689,373026,234,378
465,99547,99791,110416,391539,376872,236,400
470,101515,101760,112427,395389,380718,238,409
475,103501,103749,114486,399239,384590,240,408
480,105507,105756,116592,403089,388436,243,394
485,107532,107783,118740,406939,392282,245,376
490,109576,109829,120927,410789,396128,247,347
495,111640,111895,123143,414639,400000,249,318
500,113723,113980,125381,418489,403846,251,286
505,115825,116083,127634,422339,407692,254,255
510,117946,118207,129894,426189,411564,255,236
515,120087,120349,132156,430039,415385,258,217
520,122247,122510,134416,433889,419231,260,209
525,124426,124691,136673,437739,423077,262,212
530,126624,126892,138927,441589,426949,264,219
535,128842,129111,141179,445439,430795,266,234
540,131078,131350,143435,449289,434641,269,255
545,133334,133607,145700,453139,438487,271,281
550,135610,135884,147980,456989,442308,273,310
555,137904,138181,150283,460839,446205,275,336
560,140218,140497,152613,464689,450051,277,356
565,142551,142832,154975,468539,453897,280,371
570,144904,145186,157373,472389,457744,282,380
