TRACE BEGIN axis=1 rows=800 kp=0.00022 ki=8e-07 kv=2.5e-06 kd=0 kff=0 ff=1 pwm=25000 target=720 duration=4 vmax=800 accel=1600 vscale=1 ascale=0.7 vsrc=1 vwin=40 valpha=0.05
t_ms,ref_mdeg,enc_mdeg,hat_mdeg,vref_mdegs,what_mdegs,duty_milli,cur_01ma
0,0,0,0,0,0,131,0
5,130,130,29,17065,3333,173,1463
10,472,472,152,32516,12103,190,2070
15,998,998,385,47281,25590,206,2249
20,1674,1674,729,61235,42923,222,2339
25,2478,2478,1189,74503,63538,237,2410
30,3393,3393,1766,87180,87000,251,2463
35,4407,4407,2465,99356,113000,264,2502
40,5155,5507,3288,107461,141103,196,2461
45,5707,6474,4192,113061,161359,-10,451
50,6286,6995,5052,118661,164923,14,-1560
55,6893,7246,5801,124261,157026,215,-460
60,7529,7639,6524,129861,149051,274,1818
65,8192,8367,7332,135461,146513,266,2546
70,8883,9304,8257,141061,146564,204,2178
75,9602,10266,9269,146661,144744,176,1324
80,10350,11157,10323,152261,139205,178,912
85,11125,11998,11400,157861,138077,187,929
90,11928,12826,12497,163461,147949,177,935
95,12760,13630,13613,169061,162385,167,745
100,13619,14401,14737,174661,170282,187,644
105,14506,15186,15870,180261,170333,230,933
110,15422,16065,17034,185861,168308,263,1414
115,16365,17078,18254,191461,169949,264,1677
120,17336,18183,19540,197061,175795,240,1515
125,18336,19301,20878,202661,182974,216,1106
130,19363,20375,22244,208261,189385,210,773
135,20418,21404,23621,213861,195308,222,697
140,21501,22424,25007,219461,201795,240,819
145,22613,23477,26411,225061,208333,256,1001
150,23752,24587,27844,230661,213590,270,1146
155,24919,25763,29314,236261,217179,279,1238
160,26115,27002,30825,241861,220359,282,1266
165,27338,28286,32378,247461,224769,278,1206
170,28589,29591,33968,253061,230949,271,1067
175,29869,30895,35587,258661,238128,267,917
180,31176,32190,37225,264261,245103,273,841
185,32511,33490,38880,269861,251179,286,882
190,33875,34819,40555,275461,256462,300,999
195,35266,36196,42259,281061,261256,312,1119
200,36685,37630,43997,286661,266000,317,1178
205,38132,39112,45772,292261,270923,317,1109
210,39608,40625,47577,297861,276205,316,971
215,41111,42155,49405,303461,282051,316,826
220,42642,43695,51246,309061,288359,318,709
225,44202,45246,53093,314661,294692,325,636
230,45789,46817,54941,320261,300692,333,620
235,47404,48419,56792,325861,306154,343,648
240,49048,50060,58648,331461,311205,351,688
245,50719,51744,60510,337061,316179,356,714
250,52418,53466,62379,342661,321436,358,705
255,54146,55217,64254,348261,327051,359,678
260,55901,56989,66134,353861,332949,361,650
265,57684,58777,68018,359461,338923,365,638
270,59495,60584,69904,365061,344846,372,666
275,61335,62416,71797,370661,350590,379,726
280,63202,64280,73699,376261,356077,387,797
285,65097,66179,75614,381861,361359,393,865
290,67021,68114,77548,387461,366641,397,918
295,68972,70082,79504,393061,372103,400,952
300,70951,72076,81483,398661,377718,403,970
305,72959,74093,83487,404261,383487,407,983
310,74994,76132,85516,409861,389333,412,1010
315,77057,78196,87572,415461,395128,417,1044
320,79149,80286,89657,421061,400744,424,1086
325,81268,82407,91776,426661,406231,430,1133
330,83415,84561,93931,432261,411692,435,1171
335,85590,86746,96122,437861,417103,439,1191
340,87794,88961,98352,443461,422667,443,1198
345,90025,91202,100621,449061,428282,447,1194
350,92284,93469,102928,454661,434000,452,1188
355,94572,95761,105274,460261,439718,457,1183
360,96887,98079,107658,465861,445410,462,1181
365,99230,100425,110080,471461,451026,468,1181
370,101602,102801,112540,477061,456564,473,1179
375,104001,105207,115038,482661,462051,478,1173
380,106428,107642,117573,488261,467564,483,1160
385,108884,110106,120145,493861,473128,487,1138
390,111367,112598,122752,499461,478795,491,1116
395,113878,115115,125392,505061,484436,496,1090
400,116417,117660,128064,510661,490103,501,1074
405,118985,120232,130767,516261,495744,506,1055
410,121580,122832,133499,521861,501333,511,1039
415,124203,125460,136260,527461,506897,517,1027
420,126855,128118,139049,533061,512436,522,1019
425,129534,130805,141865,538661,518000,526,1005
430,132241,133520,144707,544261,523615,531,986
435,134977,136263,147575,549861,529256,535,972
440,137740,139032,150467,555461,534872,540,962
445,140531,141829,153382,561061,540487,545,953
450,143351,144653,156321,566661,546103,550,953
455,146198,147506,159282,572261,551718,555,953
460,149073,150387,162267,577861,557282,560,954
465,151976,153297,165275,583461,562846,565,956
470,154908,156235,168306,589061,568436,570,960
475,157867,159201,171361,594661,574026,575,963
480,160854,162196,174440,600261,579667,579,965
485,163870,165217,177544,605861,585282,584,970
490,166913,168266,180672,611461,590872,589,975
495,169984,171343,183825,617061,596487,594,985
500,173084,174448,187003,622661,602077,599,996
505,176211,177581,190207,628261,607667,604,1005
510,179366,180743,193438,633861,613256,609,1012
515,182550,183933,196696,639461,618846,614,1017
520,185761,187151,199982,645061,624436,619,1026
525,189000,190397,203296,650661,630051,623,1031
530,192267,193670,206638,656261,635667,628,1038
535,195563,196971,210008,661861,641282,633,1043
