TRACE BEGIN axis=1 rows=800 kp=0.0003 ki=8e-07 kv=1e-06 kd=0 kff=0 ff=1 pwm=25000 target=-720 duration=4 vmax=1100 accel=2200 vscale=1 ascale=0.3 vsrc=1 vwin=40 valpha=0.05
t_ms,ref_mdeg,enc_mdeg,hat_mdeg,vref_mdegs,what_mdegs,duty_milli,cur_01ma
0,0,0,0,0,0,-35,0
5,-8,-34,-43,-3300,-872,-102,-450
10,-33,-75,-155,-6600,-1923,-100,-644
15,-120,-116,-284,-12600,-2974,-118,-636
20,-192,-166,-425,-15900,-4256,-126,-760
25,-279,-219,-585,-19200,-5615,-139,-823
30,-384,-277,-760,-22500,-7103,-155,-912
35,-504,-344,-955,-25800,-8821,-174,-1020
40,-642,-439,-1175,-29100,-11231,-189,-1136
45,-795,-583,-1438,-32400,-13872,-194,-1207
50,-966,-766,-1759,-35700,-17513,-192,-1208
55,-1152,-967,-2135,-39000,-21564,-190,-1176
60,-1356,-1174,-2558,-42300,-25590,-191,-1151
65,-1575,-1386,-3022,-45600,-29641,-196,-1152
70,-1812,-1610,-3531,-48900,-33846,-202,-1175
75,-2064,-1852,-4091,-52200,-38256,-207,-1203
80,-2334,-2117,-4709,-55500,-42385,-211,-1222
85,-2619,-2402,-5389,-58800,-45769,-213,-1229
90,-2922,-2703,-6134,-62100,-48667,-216,-1232
95,-3240,-3018,-6944,-65400,-51513,-220,-1238
100,-3576,-3348,-7821,-68700,-54667,-223,-1249
105,-3927,-3695,-8769,-72000,-58077,-227,-1264
110,-4296,-4058,-9792,-75300,-61590,-231,-1281
115,-4680,-4438,-10900,-78600,-64974,-235,-1353
120,-5082,-4836,-12114,-81900,-68308,-238,-1455
125,-5499,-5250,-13465,-85200,-71513,-241,-1558
130,-5934,-5680,-14982,-88500,-74744,-245,-1672
135,-6384,-6126,-16697,-91800,-78026,-248,-1797
140,-6852,-6589,-18647,-95100,-81359,-252,-1939
145,-7335,-7068,-20874,-98400,-84667,-256,-2103
150,-7835,-7564,-23425,-101700,-88000,-259,-2290
155,-8352,-8077,-26356,-105000,-91282,-263,-2504
160,-8885,-8606,-29731,-108300,-94564,-266,-2756
165,-9435,-9152,-33623,-111600,-97872,-270,-3054
170,-10001,-9714,-38121,-114900,-101179,-273,-3399
175,-10584,-10292,-43326,-118200,-104487,-277,-3804
180,-11183,-10887,-49357,-121500,-107795,-280,-4279
185,-11799,-11498,-56355,-124800,-111077,-284,-4834
190,-12431,-12126,-64484,-128100,-114359,-287,-5487
195,-13080,-12771,-73936,-131400,-117667,-291,-6248
200,-13745,-13432,-84815,-134700,-120974,-294,-5852
205,-14427,-14110,-97004,-138000,-124282,-298,-5256
210,-15125,-14803,-110343,-141300,-127564,-302,-4731
215,-15840,-15514,-124690,-144600,-130872,-305,-4270
220,-16571,-16241,-139920,-147900,-134179,-309,-3868
225,-17319,-16984,-155924,-151200,-137487,-312,-3514
230,-18083,-17744,-172606,-154500,-140769,-316,-3204
235,-18864,-18521,-189882,-157800,-144077,-319,-2933
240,-19661,-19314,-207678,-161100,-147385,-323,-2695
245,-20475,-20123,-225930,-164400,-150667,-327,-2488
250,-21305,-20949,-244581,-167700,-153974,-330,-2306
255,-22152,-21792,-263582,-171000,-157282,-333,-2146
260,-23015,-22651,-282889,-174300,-160590,-337,-2006
265,-23895,-23526,-302465,-177600,-163872,-341,-1883
270,-24791,-24418,-322275,-180900,-167179,-344,-1776
275,-25704,-25327,-342292,-184200,-170487,-348,-1682
280,-26633,-26251,-362489,-187500,-173744,-351,-1600
285,-27579,-27193,-382845,-190800,-177077,-355,-1527
290,-28541,-28151,-403339,-194100,-180385,-358,-1464
295,-29520,-29126,-423954,-197400,-183692,-362,-1409
300,-30515,-30117,-444676,-200700,-186974,-365,-1361
305,-31527,-31129,-465491,-204000,-190410,-368,-1317
310,-32555,-32160,-486387,-207300,-193872,-369,-1280
315,-33600,-33197,-507355,-210600,-197103,-387,-1248
320,-34661,-34266,-528385,-213900,-200718,-373,-1219
325,-35739,-35342,-549470,-217200,-204051,-376,-1194
330,-36833,-36424,-570603,-220500,-207154,-396,-1173
335,-37944,-37543,-591778,-223800,-210769,-395,-1153
340,-39071,-38674,-612990,-227100,-214282,-383,-1136
345,-40215,-39801,-634234,-230400,-217077,-404,-1122
350,-41375,-40961,-655507,-233700,-220359,-406,-1109
355,-42552,-42147,-676804,-237000,-224077,-405,-1097
360,-43745,-43345,-698123,-240300,-227256,-406,-1087
365,-44955,-44547,-719461,-243600,-230513,-411,-1078
370,-46181,-45765,-740816,-246900,-233846,-416,-1071
375,-47424,-47002,-762185,-250200,-236718,-420,-1064
380,-48683,-48259,-783567,-253500,-240000,-423,-1059
385,-49959,-49533,-804960,-256800,-243667,-425,-1054
390,-51251,-50822,-826363,-260100,-246795,-429,-1049
395,-52560,-52126,-847774,-263400,-249744,-433,-1045
400,-53885,-53446,-869193,-266700,-252846,-437,-1042
405,-55227,-54784,-890619,-270000,-256282,-440,-1039
410,-56585,-56139,-912051,-273300,-259692,-443,-1036
415,-57960,-57509,-933488,-276600,-263000,-447,-1034
420,-59351,-58896,-954929,-279900,-266256,-451,-1032
425,-60759,-60299,-976374,-283200,-269462,-454,-1030
430,-62183,-61720,-997823,-286500,-272795,-457,-1028
435,-63624,-63156,-1019274,-289800,-276103,-461,-1027
440,-65081,-64609,-1040728,-293100,-279385,-465,-1026
445,-66555,-66078,-1062184,-296400,-282667,-468,-1025
450,-68045,-67564,-1083642,-299700,-285949,-472,-1024
455,-69552,-69067,-1105102,-303000,-289282,-475,-1023
460,-71075,-70586,-1126563,-306300,-292590,-479,-1022
465,-72615,-72121,-1148026,-309600,-295872,-483,-1022
470,-74171,-73673,-1169490,-312900,-299154,-486,-1021
475,-75744,-75242,-1190955,-316200,-302487,-489,-1020
480,-77333,-76827,-1212421,-319500,-305769,-493,-1020
485,-78939,-78428,-1233888,-322800,-309077,-497,-1020
490,-80561,-80046,-1255355,-326100,-312359,-500,-1019
495,-82200,-81681,-1276823,-329400,-315667,-504,-1019
500,-83855,-83332,-1298292,-332700,-318974,-507,-1019
505,-85527,-84999,-1319761,-336000,-322282,-511,-1019
510,-87215,-86683,-1341230,-339300,-325564,-515,-1018
515,-88920,-88384,-1362700,-342600,-328872,-518,-1018
520,-90641,-90101,-1384170,-345900,-332179,-521,-1018
525,-92379,-91834,-1405640,-349200,-335462,-525,-1018
530,-94133,-93584,-1427111,-352500,-338769,-529,-1018
535,-95904,-95351,-1448582,-355800,-342077,-532,-1018
540,-97691,-97134,-1470053,-359100,-345385,-536,-1018
545,-99495,-98934,-1491524,-362400,-348692,-539,-1018
550,-101315,-100749,-1512995,-365700,-351974,-543,-1018
555,-103152,-102581,-1534467,-369000,-355256,-547,-1018
560,-105005,-104430,-1555939,-372300,-358564,-550,-1017
565,-106875,-106296,-1577411,-375600,-361872,-553,-1017
570,-108761,-108179,-1598883,-378900,-365205,-557,-1017
575,-110664,-110077,-1620355,-382200,-368487,-560,-1017
580,-112583,-111991,-1641827,-385500,-371744,-564,-1017
585,-114519,-113923,-1663299,-388800,-375077,-568,-1017
590,-116471,-115872,-1684771,-392100,-378410,-571,-1017
595,-118440,-117836,-1706243,-395400,-381692,-575,-1017
600,-120425,-119817,-1727715,-398700,-385000,-578,-1017
605,-122427,-121814,-1749187,-402000,-388282,-582,-1017
610,-124445,-123828,-1770659,-405300,-391564,-585,-1017
615,-126480,-125859,-1792131,-408600,-394897,-589,-1017
620,-128531,-127906,-1813603,-411900,-398205,-592,-1017
625,-130599,-129969,-1835075,-415200,-401487,-596,-1017
630,-132683,-132049,-1856547,-418500,-404769,-600,-1017
635,-134784,-134145,-1878019,-421800,-408051,-603,-1017
640,-136901,-136258,-1899491,-425100,-411359,-607,-1017
645,-139035,-138388,-1920963,-428400,-414667,-610,-1017
650,-141185,-140534,-1942435,-431700,-417974,-614,-1017
655,-143352,-142697,-1963907,-435000,-421282,-617,-1017
660,-145535,-144876,-1985379,-438300,-424590,-621,-1017
665,-147735,-147071,-2006851,-441600,-427872,-624,-1017
670,-149951,-149283,-2028323,-444900,-431179,-628,-1017
675,-152184,-151511,-2049795,-448200,-434462,-632,-1017
680,-154433,-153757,-2071267,-451500,-437795,-635,-1017
685,-156699,-156018,-2092739,-454800,-441077,-639,-1017
690,-158981,-158296,-2114211,-458100,-444359,-642,-1017
695,-161280,-160590,-2135683,-461400,-447667,-646,-1017
700,-163595,-162901,-2157155,-464700,-450974,-649,-1017
705,-165927,-165229,-2178627,-468000,-454282,-653,-1017
710,-168275,-167573,-2200099,-471300,-457590,-656,-1017
715,-170640,-169934,-2221571,-474600,-460897,-660,-1017
720,-173021,-172311,-2243043,-477900,-464179,-663,-1017
725,-175419,-174704,-2264515,-481200,-467487,-667,-1017
730,-177833,-177113,-2285987,-484500,-470769,-671,-1017
735,-180264,-179540,-2307459,-487800,-474077,-674,-1017
740,-182711,-181983,-2328931,-491100,-477385,-678,-1017
745,-185175,-184443,-2350403,-494400,-480692,-681,-1017
750,-187655,-186919,-2371875,-497700,-483974,-685,-1017
755,-190152,-189411,-2393347,-501000,-487256,-688,-1017
760,-192665,-191920,-2414819,-504300,-490564,-692,-1017
765,-195195,-194446,-2436291,-507600,-493897,-695,-1017
770,-197741,-196988,-2457763,-510900,-497179,-699,-1017
775,-200304,-199546,-2479235,-514200,-500462,-703,-1017
780,-202883,-202121,-2500707,-517500,-503769,-706,-1017
785,-205479,-204713,-2522179,-520800,-507077,-709,-1017
790,-208091,-207321,-2543651,-524100,-510385,-713,-1017
795,-210720,-209945,-2565123,-527400,-513667,-717,-1017
800,-213365,-212586,-2586595,-530700,-516974,-720,-1017
805,-216027,-215244,-2608067,-534000,-520282,-724,-1017
810,-218705,-217918,-2629539,-537300,-523590,-727,-1017
815,-221400,-220608,-2651011,-540600,-526872,-731,-1017
820,-224111,-223315,-2672483,-543900,-530179,-734,-1017
825,-226839,-226039,-2693955,-547200,-533487,-738,-1017
830,-229583,-228779,-2715427,-550500,-536769,-741,-1017
835,-232344,-231535,-2736899,-553800,-540077,-745,-1017
840,-235121,-234308,-2758371,-557100,-543385,-749,-1017
845,-237915,-237098,-2779843,-560400,-546692,-752,-1017
850,-240725,-239904,-2801315,-563700,-550000,-755,-1017
855,-243552,-242726,-2822787,-567000,-553282,-759,-1017
860,-246395,-245565,-2844259,-570300,-556564,-763,-1017
865,-249255,-248421,-2865731,-573600,-559872,-766,-1017
870,-252131,-251293,-2887203,-576900,-563179,-770,-1017
875,-255024,-254181,-2908675,-580200,-566487,-773,-1017
880,-257933,-257086,-2930147,-583500,-569769,-777,-1017
885,-260859,-260008,-2951619,-586800,-573077,-780,-1017
890,-263801,-262946,-2973091,-590100,-576385,-784,-1017
895,-266760,-265900,-2994563,-593400,-579667,-788,-1017
900,-269735,-268871,-3016035,-596700,-582974,-791,-1017
905,-272727,-271858,-3037507,-600000,-586256,-795,-1017
910,-275735,-274862,-3058979,-603300,-589564,-798,-1017
915,-278760,-277883,-3080451,-606600,-592872,-802,-1017
920,-281801,-280921,-3101923,-609900,-596205,-805,-1017
925,-284859,-283974,-3123395,-613200,-599487,-809,-1017
930,-287933,-287043,-3144867,-616500,-602769,-812,-1017
935,-291024,-290130,-3166339,-619800,-606077,-816,-1017
940,-294131,-293233,-3187811,-623100,-609385,-819,-1017
945,-297255,-296353,-3209283,-626400,-612692,-823,-1017
950,-300395,-299489,-3230755,-629700,-616000,-826,-1017
955,-303552,-302641,-3252227,-633000,-619282,-830,-1017
960,-306725,-305810,-3273699,-636300,-622564,-834,-1017
965,-309915,-308996,-3295171,-639600,-625897,-837,-1017
970,-313121,-312197,-3316643,-642900,-629179,-841,-1017
975,-316344,-315416,-3338115,-646200,-632487,-844,-1017
980,-319583,-318651,-3359587,-649500,-635769,-848,-1017
985,-322839,-321902,-3381059,-652800,-639051,-852,-1017
990,-326111,-325170,-3402531,-656100,-642359,-855,-1017
995,-329400,-328455,-3424003,-659400,-645692,-858,-1017
1000,-332705,-331756,-3445475,-662700,-648974,-862,-1017
1005,-336027,-335073,-3466947,-666000,-652256,-866,-1017
1010,-339365,-338407,-3488419,-669300,-655564,-869,-1017
1015,-342720,-341758,-3509891,-672600,-658872,-873,-1017
1020,-346091,-345125,-3531363,-675900,-662179,-876,-1017
1025,-349479,-348509,-3552835,-679200,-665487,-880,-1017
1030,-352883,-351908,-3574307,-682500,-668769,-883,-1017
1035,-356304,-355325,-3595779,-685800,-672077,-887,-1017
1040,-359741,-358758,-3617251,-689100,-675385,-890,-1017
1045,-363181,-362153,-3638723,-686295,-677282,-826,-1017
1050,-366604,-365445,-3660195,-682995,-676128,-861,-1017
1055,-370011,-368748,-3681667,-679695,-674821,-888,-1017
1060,-373401,-372118,-3703139,-676395,-674821,-889,-1017
1065,-376775,-375531,-3724611,-673095,-675487,-871,-1017
1070,-380132,-378930,-3746083,-669795,-675385,-853,-1017
1075,-383473,-382283,-3767555,-666495,-673667,-845,-1017
1080,-386797,-385593,-3789027,-663195,-670410,-847,-1017
1085,-390105,-388882,-3810499,-659895,-668359,-849,-1017
1090,-393396,-392164,-3831971,-656595,-668282,-847,-1017
1095,-396671,-395438,-3853443,-653295,-667205,-842,-1017
1100,-399929,-398699,-3874915,-649995,-664103,-839,-1017
1105,-403171,-401946,-3896387,-646695,-659821,-836,-1017
1110,-406396,-405178,-3917859,-643395,-655718,-833,-1017
1115,-409605,-408395,-3939331,-640095,-652487,-828,-1017
1120,-412797,-411595,-3960803,-636795,-649821,-823,-1017
1125,-415973,-414773,-3982275,-633495,-647051,-819,-1017
1130,-419132,-417933,-4003747,-630195,-643923,-816,-1017
1135,-422275,-421076,-4025219,-626895,-640615,-814,-1017
1140,-425401,-424206,-4046691,-623595,-637333,-811,-1017
1145,-428511,-427321,-4068163,-620295,-634051,-807,-1017
1150,-431604,-430420,-4089635,-616995,-630692,-803,-1017
1155,-434680,-433502,-4111107,-613695,-627308,-799,-1017
1160,-437741,-436567,-4132579,-610395,-623974,-795,-1017
1165,-440784,-439614,-4154051,-607095,-620718,-792,-1017
1170,-443812,-442645,-4175523,-603795,-617513,-789,-1017
1175,-446822,-445660,-4196995,-600495,-614282,-785,-1017
1180,-449817,-448658,-4218467,-597195,-610974,-782,-1017
1185,-452794,-451640,-4239939,-593895,-607641,-778,-1017
1190,-455756,-454606,-4261411,-590595,-604308,-775,-1017
1195,-458700,-457555,-4282883,-587295,-601000,-771,-1017
1200,-461629,-460488,-4304355,-583995,-597692,-767,-1017
1205,-464540,-463404,-4325827,-580695,-594410,-764,-1017
1210,-467435,-466303,-4347299,-577395,-591128,-760,-1017
1215,-470314,-469186,-4368771,-574095,-587821,-757,-1017
1220,-473176,-472052,-4390243,-570795,-584513,-753,-1017
1225,-476022,-474902,-4411715,-567495,-581205,-750,-1017
1230,-478851,-477736,-4433187,-564195,-577923,-746,-1017
1235,-481664,-480553,-4454659,-560895,-574615,-743,-1017
1240,-484460,-483354,-4476131,-557595,-571333,-739,-1017
1245,-487240,-486138,-4497603,-554295,-568026,-735,-1017
1250,-490003,-488905,-4519075,-550995,-564718,-732,-1017
1255,-492750,-491656,-4540547,-547695,-561410,-729,-1017
1260,-495480,-494391,-4562019,-544395,-558128,-725,-1017
1265,-498194,-497109,-4583491,-541095,-554821,-721,-1017
1270,-500891,-499810,-4604963,-537795,-551513,-718,-1017
1275,-503572,-502495,-4626435,-534495,-548205,-714,-1017
1280,-506236,-505164,-4647907,-531195,-544923,-711,-1017
1285,-508884,-507816,-4669379,-527895,-541641,-707,-1017
1290,-511515,-510451,-4690851,-524595,-538308,-704,-1017
1295,-514130,-513070,-4712323,-521295,-535026,-700,-1017
1300,-516728,-515673,-4733795,-517995,-531718,-696,-1017
1305,-519310,-518259,-4755267,-514695,-528436,-693,-1017
1310,-521875,-520828,-4776739,-511395,-525128,-689,-1017
1315,-524424,-523381,-4798211,-508095,-521821,-686,-1017
1320,-526956,-525918,-4819683,-504795,-518513,-682,-1017
1325,-529472,-528438,-4841155,-501495,-515231,-679,-1017
1330,-531971,-530941,-4862627,-498195,-511923,-675,-1017
1335,-534454,-533428,-4884099,-494895,-508615,-672,-1017
1340,-536920,-535899,-4905571,-491595,-505333,-668,-1017
1345,-539370,-538353,-4927043,-488295,-502026,-665,-1017
1350,-541803,-540790,-4948515,-484995,-498718,-661,-1017
1355,-544220,-543212,-4969987,-481695,-495436,-657,-1017
1360,-546620,-545616,-4991459,-478395,-492128,-654,-1017
1365,-549003,-548004,-5012931,-475095,-488821,-650,-1017
1370,-551371,-550375,-5034403,-471795,-485513,-647,-1017
1375,-553721,-552730,-5055875,-468495,-482231,-643,-1017
1380,-556056,-555069,-5077347,-465195,-478923,-640,-1017
1385,-558373,-557391,-5098819,-461895,-475615,-636,-1017
1390,-560675,-559696,-5120291,-458595,-472308,-633,-1017
1395,-562959,-561985,-5141763,-455295,-469000,-629,-1017
1400,-565228,-564258,-5163235,-451995,-465718,-625,-1017
1405,-567479,-566514,-5184707,-448695,-462436,-622,-1017
1410,-569714,-568753,-5206179,-445395,-459128,-619,-1017
1415,-571933,-570976,-5227651,-442095,-455821,-615,-1017
