TRACE BEGIN axis=1 rows=800 kp=0.0003 ki=8e-07 kv=1.2e-06 kd=0 kff=0 ff=1 pwm=25000 target=-720 duration=4 vmax=1100 accel=2200 vscale=1 ascale=0.35 vsrc=1 vwin=40 valpha=0.05
t_ms,ref_mdeg,enc_mdeg,hat_mdeg,vref_mdegs,what_mdegs,duty_milli,cur_01ma
0,0,0,0,0,0,-41,0
5,-10,-36,-46,-3850,-923,-109,-480
10,-39,-80,-166,-7700,-2051,-107,-684
15,-133,-125,-305,-14317,-3205,-126,-697
20,-214,-178,-456,-18167,-4564,-137,-815
25,-315,-236,-629,-22017,-6051,-153,-894
30,-434,-301,-819,-25867,-7718,-172,-1001
35,-573,-392,-1034,-29717,-10051,-189,-1124
40,-732,-533,-1290,-33567,-13615,-196,-1211
45,-909,-720,-1605,-37417,-17333,-196,-1227
50,-1106,-932,-1981,-41267,-21641,-194,-1198
55,-1322,-1154,-2410,-45117,-26103,-195,-1171
60,-1557,-1382,-2886,-48967,-30590,-200,-1168
65,-1811,-1623,-3411,-52817,-35256,-207,-1190
70,-2085,-1885,-3991,-56667,-40231,-213,-1220
75,-2378,-2172,-4635,-60517,-45026,-217,-1240
80,-2690,-2482,-5346,-64367,-49103,-220,-1251
85,-3022,-2812,-6128,-68217,-52590,-224,-1257
90,-3372,-3159,-6982,-72067,-55974,-227,-1263
95,-3742,-3523,-7910,-75917,-59590,-232,-1274
100,-4132,-3906,-8916,-79767,-63513,-236,-1291
105,-4540,-4308,-10004,-83617,-67564,-241,-1309
110,-4968,-4731,-11184,-87467,-71538,-245,-1372
115,-5415,-5174,-12478,-91317,-75436,-249,-1481
120,-5881,-5636,-13916,-95167,-79205,-253,-1591
125,-6366,-6116,-15529,-99017,-82974,-257,-1708
130,-6871,-6616,-17351,-102867,-86821,-261,-1843
135,-7395,-7134,-19423,-106717,-90667,-265,-1992
140,-7938,-7673,-21786,-110567,-94564,-269,-2163
145,-8501,-8230,-24492,-114417,-98436,-274,-2357
150,-9082,-8807,-27597,-118267,-102282,-278,-2585
155,-9683,-9403,-31168,-122117,-106103,-282,-2851
160,-10304,-10018,-35286,-125967,-109949,-286,-3160
165,-10943,-10653,-40040,-129817,-113821,-290,-3524
170,-11602,-11306,-45537,-133667,-117641,-294,-3949
175,-12280,-11979,-51904,-137517,-121513,-298,-4446
180,-12977,-12672,-59286,-141367,-125359,-302,-5029
185,-13693,-13383,-67857,-145217,-129205,-307,-5711
190,-14429,-14114,-77795,-149067,-133051,-311,-6275
195,-15184,-14864,-89147,-152917,-136897,-315,-5638
200,-15958,-15633,-101753,-156767,-140769,-319,-5065
205,-16752,-16422,-115458,-160617,-144615,-323,-4563
210,-17564,-17229,-130126,-164467,-148462,-327,-4124
215,-18396,-18056,-145638,-168317,-152308,-331,-3739
220,-19248,-18902,-161888,-172167,-156128,-336,-3402
225,-20118,-19768,-178786,-176017,-160000,-340,-3106
230,-21008,-20653,-196251,-179867,-163872,-344,-2847
235,-21917,-21557,-214212,-183717,-167718,-348,-2621
240,-22845,-22480,-232609,-187567,-171564,-352,-2422
245,-23792,-23422,-251387,-191417,-175385,-356,-2247
250,-24759,-24384,-270499,-195267,-179256,-360,-2095
255,-25745,-25365,-289904,-199117,-183103,-365,-1961
260,-26750,-26365,-309565,-202967,-186949,-369,-1844
265,-27775,-27385,-329451,-206817,-190821,-373,-1742
270,-28818,-28423,-349533,-210667,-194641,-377,-1652
275,-29881,-29481,-369788,-214517,-198487,-400,-1573
280,-30964,-30572,-390193,-218367,-202692,-381,-1504
285,-32065,-31671,-410731,-222217,-206615,-385,-1444
290,-33186,-32782,-431384,-226067,-210333,-409,-1391
295,-34326,-33937,-452139,-229917,-214718,-388,-1345
300,-35485,-35090,-472983,-233767,-218513,-393,-1305
305,-36663,-36252,-493905,-237617,-222077,-419,-1268
310,-37861,-37462,-514895,-241467,-226385,-399,-1238
315,-39078,-38681,-535945,-245317,-230385,-401,-1210
320,-40314,-39902,-557048,-249167,-233590,-427,-1187
325,-41570,-41165,-578197,-253017,-237769,-427,-1166
330,-42844,-42445,-599386,-256867,-241949,-410,-1147
335,-44138,-43721,-620610,-260717,-244949,-437,-1130
340,-45452,-45034,-641864,-264567,-249077,-439,-1117
345,-46784,-46374,-663145,-268417,-253436,-439,-1105
350,-48136,-47729,-684450,-272267,-256949,-441,-1094
355,-49507,-49095,-705776,-276117,-260821,-445,-1084
360,-50897,-50477,-727120,-279967,-264769,-450,-1076
365,-52306,-51876,-748480,-283817,-268077,-457,-1068
370,-53735,-53300,-769854,-287667,-271846,-461,-1062
375,-55183,-54745,-791240,-291517,-276026,-464,-1057
380,-56650,-56209,-812637,-295367,-279718,-468,-1052
