t_ms,ref_mdeg,enc_mdeg,hat_mdeg,vref_mdegs,what_mdegs,duty_milli,cur_01ma
0,0,0,0,0,0,131,0
5,129,129,29,16999,3308,172,1458
10,469,469,152,32412,12026,190,2066
15,995,995,385,47210,25513,206,2249
20,1670,1670,729,61162,42821,222,2340
25,2473,2473,1189,74428,63410,236,2407
30,3387,3387,1766,87103,86846,251,2464
35,4401,4401,2465,99289,112846,264,2503
40,5149,5500,3288,107397,140923,186,2453
45,5700,6449,4187,112997,160744,-27,294
50,6279,6924,5033,118597,163154,13,-1724
55,6886,7144,5762,124197,154487,228,-394
60,7521,7578,6475,129797,147590,284,2225
65,8184,8355,7292,135397,146333,262,2637
70,8875,9317,8229,140997,147051,185,2071
75,9594,10257,9244,146597,144667,156,1066
80,10341,11092,10286,152197,137744,172,697
85,11116,11881,11339,157797,135923,193,902
90,11919,12685,12415,163397,146385,187,1054
95,12750,13495,13516,168997,161385,175,882
100,13609,14287,14633,174597,168641,194,749
105,14496,15099,15767,180197,168205,234,1014
110,15411,16005,16935,185797,166487,261,1447
115,16354,17029,18160,191397,169154,254,1621
120,17325,18121,19447,196997,176154,226,1374
125,18324,19202,20777,202597,183641,207,946
130,19351,20233,22125,208197,189359,212,705
135,20406,21236,23482,213797,194385,233,772
140,21489,22263,24855,219397,200462,252,992
145,22600,23347,26256,224997,207077,263,1156
150,23739,24492,27694,230597,212590,267,1204
155,24906,25687,29170,236197,216487,271,1188
160,26101,26920,30684,241797,220000,273,1156
165,27324,28182,32234,247397,224872,271,1098
170,28575,29458,33814,252997,231385,269,1006
175,29854,30739,35420,258597,238487,271,925
180,31161,32026,37048,264197,244897,280,911
185,32496,33336,38698,269797,250385,293,986
190,33859,34686,40375,275397,255359,304,1088
195,35250,36085,42084,280997,260359,310,1148
200,36669,37530,43828,286597,265615,310,1135
205,38116,39004,45606,292197,270974,310,1037
210,39591,40498,47409,297797,276513,312,903
215,41094,42007,49231,303397,282333,316,799
220,42625,43533,51065,308997,288385,323,736
225,44184,45084,52908,314597,294410,330,707
230,45771,46666,54758,320197,300103,337,694
235,47386,48282,56614,325797,305410,344,695
240,49029,49935,58476,331397,310564,349,695
245,50700,51622,60344,336997,315897,351,681
250,52399,53336,62218,342597,321462,354,655
255,54125,55073,64095,348197,327256,357,634
260,55880,56831,65973,353797,333077,362,633
265,57663,58612,67855,359397,338821,369,661
270,59474,60422,69742,364997,344513,375,708
275,61313,62263,71637,370597,350077,381,760
280,63180,64136,73544,376197,355538,386,810
285,65075,66040,75466,381797,360974,390,849
290,66998,67974,77404,387397,366462,394,883
295,68949,69933,79360,392997,372051,398,908
