TRACE BEGIN axis=1 rows=800 kp=0.0002 ki=8e-07 kv=1e-06 kd=0 kff=0 ff=1 pwm=25000 target=-720 duration=4 vmax=1100 accel=2200 vscale=1 ascale=0.4 vsrc=1 vwin=40 valpha=0.05
t_ms,ref_mdeg,enc_mdeg,hat_mdeg,vref_mdegs,what_mdegs,duty_milli,cur_01ma
0,0,0,0,0,0,-47,0
5,-11,-38,-49,-4400,-974,-117,-513
10,-44,-86,-178,-8800,-2205,-117,-741
15,-150,-136,-332,-16234,-3487,-134,-775
20,-242,-192,-497,-20634,-4923,-144,-862
25,-356,-252,-679,-25034,-6462,-158,-935
30,-492,-320,-877,-29434,-8205,-174,-1030
35,-650,-418,-1100,-33834,-10718,-189,-1135
40,-831,-565,-1367,-38234,-14436,-199,-1214
45,-1033,-761,-1695,-42634,-18282,-203,-1244
50,-1257,-993,-2091,-47034,-23026,-205,-1241
55,-1503,-1247,-2553,-51434,-28205,-206,-1228
60,-1771,-1517,-3078,-55834,-33667,-209,-1218
65,-2061,-1800,-3664,-60234,-39359,-213,-1220
70,-2374,-2099,-4312,-64634,-45205,-219,-1235
75,-2708,-2420,-5028,-69034,-50692,-225,-1254
80,-3064,-2764,-5817,-73434,-55462,-230,-1274
85,-3442,-3133,-6683,-77834,-59692,-235,-1292
90,-3842,-3525,-7631,-82234,-63667,-240,-1304
95,-4264,-3940,-8666,-86634,-67692,-244,-1317
100,-4709,-4377,-9791,-91034,-71923,-249,-1331
105,-5175,-4835,-11009,-95434,-76333,-253,-1351
110,-5663,-5314,-12336,-99834,-80821,-258,-1467
115,-6173,-5816,-13802,-104234,-85359,-263,-1583
120,-6705,-6339,-15442,-108634,-89821,-268,-1705
125,-7259,-6885,-17291,-113034,-94256,-272,-1839
130,-7836,-7452,-19387,-117434,-98615,-277,-1989
135,-8434,-8042,-21775,-121834,-102974,-282,-2159
140,-9054,-8654,-24504,-126234,-107359,-305,-2353
145,-9696,-9305,-27638,-130634,-112205,-288,-2645
150,-10360,-9970,-31245,-135034,-116846,-291,-2806
155,-11047,-10642,-35386,-139434,-121103,-315,-3113
160,-11755,-11356,-40162,-143834,-125897,-298,-3597
165,-12485,-12090,-45688,-148234,-130615,-300,-3893
170,-13237,-12827,-52070,-152634,-134821,-324,-4408
175,-14011,-13606,-59464,-157034,-139564,-326,-5059
180,-14807,-14409,-68046,-161434,-144333,-310,-5662
185,-15626,-15212,-77988,-165834,-148051,-334,-6273
190,-16466,-16050,-89342,-170234,-152462,-338,-5637
195,-17328,-16915,-101950,-174634,-157308,-340,-5064
200,-18212,-17800,-115657,-179034,-161436,-343,-4563
205,-19118,-18702,-130327,-183434,-165795,-347,-4123
210,-20046,-19621,-145840,-187834,-170282,-351,-3739
215,-20997,-20559,-162091,-192234,-174179,-357,-3401
220,-21969,-21521,-178990,-196634,-178282,-363,-3106
225,-22963,-22507,-196456,-201034,-182821,-367,-2847
230,-23979,-23515,-214418,-205434,-187026,-372,-2620
235,-25017,-24547,-232816,-209834,-191179,-377,-2422
240,-26077,-25600,-251595,-214234,-195410,-381,-2247
245,-27160,-26675,-270708,-218634,-199769,-386,-2095
250,-28264,-27771,-290113,-223034,-204205,-390,-1961
255,-29390,-28889,-309775,-227434,-208692,-395,-1844
260,-30538,-30028,-329661,-231834,-213128,-400,-1742
265,-31708,-31189,-349744,-236234,-217487,-405,-1652
270,-32900,-32372,-369999,-240634,-221846,-410,-1573
275,-34115,-33578,-390405,-245034,-226205,-414,-1504
280,-35351,-34806,-410943,-249434,-230590,-419,-1444
285,-36609,-36056,-431596,-253834,-234974,-424,-1391
290,-37889,-37327,-452351,-258234,-239333,-428,-1345
295,-39191,-38621,-473195,-262634,-243744,-433,-1305
300,-40515,-39937,-494117,-267034,-248179,-438,-1268
305,-41862,-41275,-515107,-271434,-252615,-442,-1238
310,-43230,-42634,-536157,-275834,-257000,-447,-1210
315,-44620,-44016,-557260,-280234,-261385,-452,-1187
320,-46032,-45419,-578409,-284634,-265769,-457,-1165
325,-47466,-46845,-599598,-289034,-270179,-461,-1147
330,-48922,-48293,-620822,-293434,-274564,-466,-1130
335,-50401,-49762,-642076,-297834,-278949,-471,-1117
340,-51901,-51254,-663357,-302234,-283359,-476,-1105
345,-53423,-52768,-684662,-306634,-287769,-480,-1094
350,-54967,-54303,-705988,-311034,-292154,-485,-1084
355,-56533,-55861,-727332,-315434,-296590,-490,-1076
360,-58122,-57441,-748692,-319834,-301000,-494,-1068
365,-59732,-59042,-770066,-324234,-305359,-499,-1062
370,-61364,-60666,-791452,-328634,-309769,-504,-1057
375,-63018,-62312,-812849,-333034,-314179,-509,-1052
380,-64694,-63979,-834256,-337434,-318564,-513,-1048
385,-66392,-65669,-855670,-341834,-322974,-518,-1044
390,-68113,-67380,-877091,-346234,-327359,-523,-1041
395,-69855,-69114,-898519,-350634,-331769,-528,-1038
400,-71619,-70870,-919953,-355034,-336179,-532,-1035
405,-73405,-72648,-941392,-359434,-340590,-537,-1033
410,-75213,-74447,-962835,-363834,-344974,-542,-1031
415,-77043,-76269,-984282,-368234,-349385,-546,-1029
420,-78896,-78112,-1005731,-372634,-353769,-551,-1028
425,-80770,-79978,-1027183,-377034,-358179,-556,-1026
430,-82666,-81865,-1048637,-381434,-362564,-561,-1025
435,-84584,-83775,-1070094,-385834,-366949,-565,-1024
440,-86524,-85707,-1091553,-390234,-371359,-570,-1023
445,-88486,-87661,-1113013,-394634,-375769,-575,-1023
450,-90471,-89636,-1134475,-399034,-380154,-580,-1022
455,-92477,-91634,-1155938,-403434,-384564,-584,-1021
460,-94505,-93654,-1177402,-407834,-388974,-589,-1021
465,-96555,-95696,-1198867,-412234,-393385,-594,-1020
470,-98627,-97759,-1220333,-416634,-397769,-599,-1020
475,-100721,-99845,-1241800,-421034,-402179,-603,-1020
480,-102838,-101952,-1263268,-425434,-406564,-608,-1019
485,-104976,-104082,-1284736,-429834,-410974,-613,-1019
490,-107136,-106234,-1306205,-434234,-415385,-617,-1019
