TRACE BEGIN axis=1 rows=800 kp=0.0002 ki=8e-07 kv=1.5e-06 kd=0 kff=0 ff=1 pwm=25000 target=-720 duration=4 vmax=1100 accel=2200 vscale=1 ascale=0.4 vsrc=1 vwin=40 valpha=0.05
t_ms,ref_mdeg,enc_mdeg,hat_mdeg,vref_mdegs,what_mdegs,duty_milli,cur_01ma
0,0,0,0,0,0,-47,0
5,-11,-38,-49,-4400,-974,-117,-513
10,-44,-86,-178,-8800,-2205,-117,-741
15,-150,-136,-332,-16234,-3487,-134,-775
20,-242,-192,-497,-20634,-4923,-144,-862
25,-356,-252,-679,-25034,-6462,-158,-935
30,-492,-320,-877,-29434,-8205,-174,-1030
35,-650,-418,-1100,-33834,-10718,-189,-1135
40,-831,-565,-1367,-38234,-14436,-199,-1214
45,-1033,-761,-1695,-42634,-18282,-203,-1244
50,-1257,-993,-2091,-47034,-23026,-205,-1241
55,-1503,-1247,-2553,-51434,-28205,-206,-1228
60,-1771,-1517,-3078,-55834,-33667,-209,-1218
65,-2061,-1800,-3664,-60234,-39359,-213,-1220
70,-2374,-2099,-4312,-64634,-45205,-219,-1235
75,-2708,-2420,-5028,-69034,-50692,-225,-1254
80,-3064,-2764,-5817,-73434,-55462,-230,-1274
85,-3442,-3133,-6683,-77834,-59692,-235,-1292
90,-3842,-3525,-7631,-82234,-63667,-240,-1304
95,-4264,-3940,-8666,-86634,-67692,-244,-1317
100,-4709,-4377,-9791,-91034,-71923,-249,-1331
105,-5175,-4835,-11009,-95434,-76333,-253,-1351
110,-5663,-5314,-12336,-99834,-80821,-258,-1467
115,-6173,-5816,-13802,-104234,-85359,-263,-1583
120,-6705,-6339,-15442,-108634,-89821,-268,-1705
125,-7259,-6885,-17291,-113034,-94256,-272,-1839
130,-7836,-7452,-19387,-117434,-98615,-277,-1989
135,-8434,-8042,-21775,-121834,-102974,-282,-2159
140,-9054,-8654,-24504,-126234,-107359,-315,-2353
145,-9696,-9307,-27638,-130634,-112256,-287,-2643
150,-10360,-9971,-31244,-135034,-116872,-290,-2804
155,-11047,-10641,-35383,-139434,-121077,-324,-3114
160,-11755,-11364,-40160,-143834,-126103,-297,-3617
165,-12485,-12090,-45688,-148234,-130615,-300,-3860
170,-13237,-12826,-52069,-152634,-134795,-333,-4432
175,-14011,-13619,-59467,-157034,-139897,-306,-5075
180,-14807,-14403,-68048,-161434,-144179,-337,-5583
185,-15626,-15211,-77975,-165834,-147974,-343,-6279
190,-16466,-16072,-89316,-170234,-153026,-315,-5643
195,-17328,-16921,-101912,-174634,-157436,-347,-5070
200,-18212,-17795,-115609,-179034,-161154,-353,-4567
205,-19118,-18712,-130270,-183434,-166077,-353,-4127
210,-20046,-19644,-145775,-187834,-170821,-355,-3742
215,-20997,-20574,-162019,-192234,-174282,-363,-3404
220,-21969,-21544,-178912,-196634,-179103,-366,-3109
225,-22963,-22542,-196372,-201034,-183641,-368,-2849
230,-23979,-23559,-214330,-205434,-187538,-372,-2622
235,-25017,-24594,-232723,-209834,-192359,-375,-2423
240,-26077,-25646,-251498,-214234,-196692,-379,-2248
245,-27160,-26716,-270607,-218634,-200436,-386,-2096
250,-28264,-27810,-290009,-223034,-204692,-391,-1962
255,-29390,-28928,-309668,-227434,-209308,-395,-1845
260,-30538,-30069,-329552,-231834,-213538,-400,-1743
265,-31708,-31232,-349633,-236234,-217641,-405,-1653
270,-32900,-32417,-369886,-240634,-221846,-410,-1574
275,-34115,-33625,-390290,-245034,-226205,-414,-1505
280,-35351,-34854,-410827,-249434,-230667,-419,-1444
285,-36609,-36104,-431479,-253834,-235154,-423,-1391
290,-37889,-37374,-452233,-258234,-239538,-428,-1345
295,-39191,-38667,-473076,-262634,-243923,-433,-1305
300,-40515,-39982,-493997,-267034,-248256,-438,-1269
305,-41862,-41320,-514986,-271434,-252641,-443,-1238
310,-43230,-42680,-536036,-275834,-257000,-447,-1210
315,-44620,-44062,-557138,-280234,-261359,-452,-1187
320,-46032,-45467,-578286,-284634,-265769,-457,-1166
325,-47466,-46893,-599474,-289034,-270179,-461,-1147
330,-48922,-48340,-620698,-293434,-274590,-466,-1131
335,-50401,-49810,-641952,-297834,-279000,-471,-1117
340,-51901,-51301,-663233,-302234,-283410,-476,-1105
345,-53423,-52814,-684538,-306634,-287795,-480,-1094
350,-54967,-54350,-705863,-311034,-292179,-485,-1084
355,-56533,-55908,-727207,-315434,-296564,-490,-1076
360,-58122,-57488,-748567,-319834,-300974,-494,-1068
365,-59732,-59089,-769941,-324234,-305359,-499,-1062
370,-61364,-60713,-791327,-328634,-309769,-504,-1057
375,-63018,-62359,-812724,-333034,-314179,-509,-1052
380,-64694,-64026,-834131,-337434,-318564,-513,-1048
385,-66392,-65716,-855545,-341834,-322974,-518,-1044
390,-68113,-67427,-876966,-346234,-327359,-523,-1041
395,-69855,-69161,-898394,-350634,-331769,-528,-1038
400,-71619,-70917,-919828,-355034,-336179,-532,-1035
405,-73405,-72694,-941267,-359434,-340564,-537,-1033
410,-75213,-74494,-962710,-363834,-344949,-542,-1031
415,-77043,-76316,-984157,-368234,-349359,-547,-1029
420,-78896,-78160,-1005606,-372634,-353769,-551,-1028
425,-80770,-80025,-1027058,-377034,-358179,-556,-1026
430,-82666,-81913,-1048512,-381434,-362590,-561,-1025
435,-84584,-83823,-1069969,-385834,-367000,-565,-1024
440,-86524,-85754,-1091428,-390234,-371359,-570,-1023
445,-88486,-87708,-1112888,-394634,-375769,-575,-1023
450,-90471,-89683,-1134350,-399034,-380154,-580,-1022
455,-92477,-91681,-1155813,-403434,-384564,-584,-1021
460,-94505,-93701,-1177277,-407834,-388974,-589,-1021
465,-96555,-95742,-1198742,-412234,-393359,-594,-1020
470,-98627,-97806,-1220208,-416634,-397769,-599,-1020
475,-100721,-99892,-1241675,-421034,-402179,-603,-1020
480,-102838,-101999,-1263143,-425434,-406564,-608,-1019
485,-104976,-104129,-1284611,-429834,-410974,-613,-1019
490,-107136,-106281,-1306080,-434234,-415385,-617,-1019
