TRACE BEGIN axis=1 rows=800 kp=0.0003 ki=8e-07 kv=1e-06 kd=0 kff=0 ff=1 pwm=25000 target=-720 duration=4 vmax=1100 accel=2200 vscale=1 ascale=0.5 vsrc=1 vwin=40 valpha=0.05
t_ms,ref_mdeg,enc_mdeg,hat_mdeg,vref_mdegs,what_mdegs,duty_milli,cur_01ma
0,0,0,0,0,0,-59,0
5,-14,-42,-54,-5500,-1077,-127,-570
10,-55,-94,-196,-11000,-2410,-127,-799
15,-173,-151,-363,-19526,-3872,-152,-868
20,-285,-215,-550,-25026,-5513,-170,-986
25,-424,-302,-761,-30526,-7744,-189,-1109
30,-590,-441,-1010,-36026,-11308,-201,-1213
35,-784,-636,-1321,-41526,-16308,-204,-1254
40,-1005,-870,-1702,-47026,-22256,-204,-1244
45,-1254,-1125,-2149,-52526,-27487,-206,-1221
50,-1530,-1395,-2657,-58026,-33103,-212,-1216
55,-1834,-1685,-3229,-63526,-39026,-220,-1238
60,-2166,-2002,-3869,-69026,-45462,-228,-1272
65,-2525,-2351,-4588,-74526,-51949,-235,-1300
70,-2911,-2732,-5392,-80026,-57846,-240,-1317
75,-3325,-3142,-6286,-85526,-63128,-245,-1328
80,-3766,-3578,-7271,-91026,-68179,-250,-1337
85,-4235,-4040,-8353,-96526,-73385,-256,-1352
90,-4732,-4528,-9533,-102026,-78897,-263,-1370
95,-5255,-5044,-10818,-107526,-84564,-269,-1390
100,-5807,-5588,-12218,-113026,-90231,-275,-1457
105,-6386,-6160,-13757,-118526,-95769,-281,-1582
110,-6992,-6760,-15470,-124026,-101231,-286,-1712
115,-7626,-7387,-17394,-129526,-106667,-292,-1849
120,-8287,-8041,-19569,-135026,-112103,-298,-2003
125,-8976,-8723,-22040,-140526,-117615,-304,-2176
130,-9693,-9432,-24857,-146026,-123154,-310,-2374
135,-10436,-10169,-28079,-151526,-128692,-316,-2604
140,-11208,-10933,-31772,-157026,-134179,-322,-2870
145,-12007,-11724,-36015,-162526,-139641,-328,-3179
150,-12833,-12544,-40901,-168026,-145154,-334,-3542
155,-13687,-13391,-46535,-173526,-150641,-339,-3965
160,-14568,-14265,-53042,-179026,-156154,-345,-4461
165,-15477,-15167,-60570,-184526,-161667,-351,-5042
170,-16414,-16096,-69290,-190026,-167154,-357,-5722
175,-17377,-17053,-79373,-195526,-172667,-363,-6209
180,-18369,-18037,-90852,-201026,-178154,-369,-5580
185,-19388,-19049,-103570,-206526,-183667,-375,-5014
190,-20434,-20088,-117373,-212026,-189154,-381,-4519
195,-21508,-21155,-132127,-217526,-194667,-387,-4085
200,-22609,-22249,-147714,-223026,-200154,-393,-3705
205,-23738,-23371,-164031,-228526,-205641,-399,-3371
210,-24895,-24520,-180986,-234026,-211154,-405,-3080
215,-26079,-25697,-198501,-239526,-216667,-410,-2824
220,-27290,-26901,-216507,-245026,-222154,-416,-2600
225,-28529,-28133,-234943,-250526,-227667,-422,-2404
230,-29795,-29396,-253755,-256026,-233256,-427,-2232
235,-31089,-30699,-272897,-261526,-239154,-428,-2081
240,-32410,-32009,-292327,-267026,-244564,-458,-1949
245,-33759,-33363,-312010,-272526,-250359,-438,-1834
250,-35136,-34745,-331915,-278026,-256205,-440,-1733
255,-36540,-36127,-352015,-283526,-261308,-472,-1644
260,-37971,-37565,-372285,-289026,-267179,-474,-1566
265,-39430,-39037,-392704,-294526,-273179,-452,-1498
270,-40916,-40503,-413254,-300026,-278128,-483,-1438
275,-42430,-42014,-433918,-305526,-283436,-488,-1386
280,-43971,-43566,-454682,-311026,-289538,-488,-1341
285,-45540,-45140,-475534,-316526,-294846,-491,-1301
290,-47137,-46723,-496463,-322026,-300051,-499,-1265
295,-48761,-48335,-517459,-327526,-305795,-506,-1235
300,-50412,-49978,-538514,-333026,-310744,-513,-1208
305,-52091,-51653,-559621,-338526,-316000,-518,-1185
310,-53797,-53356,-580774,-344026,-321923,-522,-1164
315,-55531,-55085,-601966,-349526,-327256,-528,-1145
320,-57293,-56838,-623193,-355026,-332256,-534,-1129
325,-59081,-58618,-644450,-360526,-337513,-541,-1116
330,-60898,-60428,-665734,-366026,-343231,-547,-1104
335,-62742,-62266,-687041,-371526,-348846,-552,-1093
340,-64613,-64130,-708368,-377026,-354333,-558,-1083
345,-66512,-66022,-729714,-382526,-359769,-564,-1075
350,-68438,-67941,-751076,-388026,-365154,-570,-1068
355,-70392,-69887,-772451,-393526,-370615,-576,-1061
360,-72374,-71862,-793838,-399026,-376179,-582,-1057
365,-74382,-73864,-815236,-404526,-381692,-588,-1052
370,-76419,-75893,-836644,-410026,-387179,-594,-1047
375,-78483,-77950,-858059,-415526,-392667,-600,-1044
380,-80574,-80034,-879481,-421026,-398154,-606,-1040
385,-82693,-82146,-900910,-426526,-403667,-611,-1037
390,-84839,-84285,-922344,-432026,-409154,-617,-1035
395,-87013,-86452,-943783,-437526,-414667,-623,-1033
400,-89215,-88646,-965226,-443026,-420154,-629,-1031
405,-91443,-90868,-986673,-448526,-425641,-635,-1029
410,-93700,-93117,-1008122,-454026,-431128,-641,-1028
415,-95984,-95394,-1029574,-459526,-436641,-647,-1026
420,-98295,-97698,-1051029,-465026,-442154,-653,-1025
425,-100634,-100030,-1072486,-470526,-447667,-659,-1024
430,-103000,-102389,-1093945,-476026,-453154,-665,-1023
435,-105394,-104776,-1115406,-481526,-458641,-671,-1023
440,-107816,-107190,-1136868,-487026,-464154,-677,-1022
445,-110265,-109632,-1158331,-492526,-469641,-683,-1021
450,-112741,-112102,-1179795,-498026,-475179,-688,-1021
455,-115245,-114598,-1201260,-503526,-480641,-694,-1020
460,-117776,-117122,-1222726,-509026,-486128,-700,-1020
465,-120335,-119674,-1244193,-514526,-491641,-706,-1020
470,-122921,-122254,-1265661,-520026,-497154,-712,-1019
475,-125535,-124860,-1287129,-525526,-502641,-718,-1019
480,-128177,-127494,-1308598,-531026,-508128,-724,-1019
485,-130846,-130156,-1330067,-536526,-513641,-730,-1019
490,-133542,-132846,-1351537,-542026,-519154,-735,-1018
495,-136266,-135563,-1373007,-547526,-524667,-741,-1018
500,-139017,-138307,-1394477,-553026,-530154,-747,-1018
505,-141796,-141078,-1415948,-558526,-535641,-753,-1018
510,-144602,-143878,-1437419,-564026,-541154,-759,-1018
515,-147436,-146705,-1458890,-569526,-546667,-765,-1018
520,-150298,-149559,-1480361,-575026,-552154,-771,-1018
525,-153187,-152441,-1501832,-580526,-557667,-777,-1018
530,-156103,-155350,-1523304,-586026,-563154,-783,-1018
535,-159047,-158287,-1544776,-591526,-568667,-789,-1017
